City,January,February,March,April,May,June,July,August,September,October,November,December,Yearly
ADANA,15.1,16.1,19.5,23.8,28.2,31.7,33.7,34.6,33.2,29.2,22.0,16.8,25.3
ADIYAMAN,9.0,10.2,14.9,20.7,26.8,33.5,38.0,37.8,33.2,25.7,16.9,10.9,23.1
AFYONKARAHISAR,4.7,6.1,11.1,16.3,21.4,25.9,29.5,29.7,25.5,19.2,12.2,6.6,17.3
AGRI,-5.0,-3.1,2.7,12.3,18.4,24.4,29.5,30.1,25.6,17.5,7.7,-1.0,13.3
AMASYA,7.2,9.2,14.3,20.3,24.9,28.7,31.1,31.6,28.0,21.8,14.1,8.7,20.0
ANKARA,4.7,6.6,11.8,17.2,22.3,26.7,30.3,30.5,26.2,19.9,12.3,6.5,17.9
ANTALYA,15.1,15.4,18.1,21.7,26.2,31.5,34.6,34.6,31.5,27.0,20.9,16.5,24.4
ARTVIN,6.0,7.7,12.0,17.5,21.2,23.8,25.5,26.0,23.7,19.5,12.8,7.5,16.9
AYDIN,13.6,14.6,18.2,22.8,28.6,33.9,36.5,35.9,32.3,26.7,19.6,14.6,24.8
BALIKESIR,9.2,10.2,14.0,19.5,24.7,29.5,31.3,31.4,27.9,22.1,15.3,10.5,20.5
BILECIK,6.2,7.6,11.6,17.1,22.2,26.2,28.7,29.1,25.2,19.5,13.0,7.9,17.9
BINGOL,1.8,3.1,9.1,16.5,22.7,29.4,34.7,34.7,29.8,21.4,12.9,4.7,18.4
BITLIS,1.4,2.5,6.7,13.3,19.4,25.9,30.9,31.1,26.7,18.8,9.9,3.5,15.8
BOLU,5.7,7.1,11.3,16.8,21.4,24.8,27.4,28.1,24.6,19.2,12.8,7.5,17.2
BURDUR,7.1,8.5,12.8,17.7,23.3,28.4,32.1,32.4,28.0,21.5,13.9,8.3,19.5
BURSA,9.8,10.6,13.9,18.9,23.9,28.5,30.9,31.1,27.2,21.7,15.8,11.4,20.3
CANAKKALE,9.7,9.9,12.3,17.0,22.5,27.8,30.7,30.7,26.3,20.7,15.4,11.4,19.5
CANKIRI,3.8,6.2,12.2,18.0,23.0,27.4,31.2,31.5,27.1,20.3,11.5,5.5,18.1
CORUM,4.6,6.6,11.8,17.7,22.2,26.1,29.3,29.9,26.2,19.9,12.3,6.4,17.8
DENIZLI,10.8,11.9,15.9,20.9,26.6,31.7,34.7,34.7,30.3,23.9,16.9,12.1,22.5
DIYARBAKIR,6.7,9.0,14.4,20.3,26.5,33.9,38.5,38.1,33.2,25.3,15.8,9.1,22.6
EDIRNE,6.8,9.3,13.4,19.3,24.8,29.4,31.8,31.9,27.3,20.5,13.6,8.1,19.7
ELAZIG,3.3,5.3,11.3,18.0,23.6,29.8,34.4,34.3,29.4,21.7,12.3,5.7,19.1
ERZINCAN,2.2,3.9,10.0,16.8,22.1,27.1,31.7,31.9,27.5,20.0,11.3,4.6,17.4
ERZURUM,-4.1,-2.7,3.1,11.7,17.2,22.3,27.1,27.7,23.3,15.7,6.5,-1.1,12.2
ESKISEHIR,4.1,6.3,11.5,16.9,21.9,26.1,29.0,29.4,25.5,19.5,12.0,5.8,17.3
GAZIANTEP,8.3,9.6,14.4,20.1,25.8,31.6,35.7,35.7,31.5,24.5,16.0,10.2,21.9
GIRESUN,10.4,10.0,11.6,14.9,18.4,23.2,26.1,26.8,23.5,19.6,15.5,12.4,17.7
GUMUSHANE,2.8,4.5,9.4,15.9,20.6,24.5,27.8,28.5,25.0,18.7,10.1,4.8,16.1
HAKKARI,-0.6,0.6,6.1,12.8,19.1,25.8,30.7,30.9,26.5,18.4,9.5,2.3,15.2
HATAY,12.6,14.5,18.5,22.9,26.7,29.3,31.3,32.1,31.3,27.9,20.1,14.0,23.4
ISPARTA,6.7,7.7,11.8,16.7,22.0,26.9,30.5,30.8,26.8,20.7,13.6,8.1,18.5
MERSIN,15.1,15.6,18.3,21.7,25.0,28.2,30.9,31.7,30.3,27.1,21.3,16.7,23.5
ISTANBUL,8.5,8.7,11.0,15.5,20.1,25.0,26.9,27.2,23.8,19.2,14.2,10.4,17.5
IZMIR,12.8,13.4,16.6,21.2,26.3,31.1,33.5,33.2,29.3,24.4,18.3,14.1,22.9
KARS,-4.0,-2.1,3.6,11.7,16.6,21.5,25.8,26.5,22.5,15.3,6.7,-0.6,12.0
KASTAMONU,3.4,5.8,11.0,16.5,21.1,24.8,28.0,28.4,24.1,17.8,10.3,4.6,16.3
KAYSERI,4.2,5.8,11.6,17.7,22.2,26.8,30.7,30.9,26.7,20.2,12.2,6.1,17.9
KIRKLARELI,6.9,8.3,11.9,17.7,23.4,28.1,30.8,30.7,26.1,19.7,13.1,8.2,18.7
KIRSEHIR,4.6,6.1,11.3,16.9,21.7,26.1,29.8,30.1,26.1,19.7,12.2,6.5,17.6
KOCAELI,9.8,10.4,13.1,18.4,23.2,27.6,29.5,29.7,26.0,20.8,15.6,11.6,19.6
KONYA,4.8,6.5,12.0,17.6,22.4,27.1,30.4,30.4,26.5,20.0,12.3,6.3,18.0
KUTAHYA,4.9,6.4,11.0,16.3,21.4,25.5,28.5,29.0,25.1,19.1,12.3,6.5,17.2
MALATYA,4.0,6.2,12.2,18.8,24.2,30.0,34.4,34.2,29.6,21.7,12.3,5.9,19.5
MANISA,10.9,12.2,16.3,21.4,27.4,32.7,35.3,35.3,30.9,24.4,16.9,12.1,23.0
K.MARAS,9.4,10.9,15.8,21.3,26.8,32.1,35.7,36.1,32.6,25.9,17.0,11.0,22.9
MARDIN,6.4,7.5,12.1,18.0,24.5,31.2,35.5,35.1,30.5,23.3,14.5,8.4,20.6
MUGLA,10.4,10.8,14.4,18.9,24.7,30.1,33.7,33.9,29.5,23.4,16.3,11.4,21.5
MUS,-3.2,-1.3,5.8,15.0,21.4,27.8,33.3,33.3,28.5,20.0,9.7,1.1,15.9
NEVSEHIR,4.0,4.9,10.0,15.8,20.4,25.0,28.4,28.8,24.8,18.3,11.1,5.9,16.5
NIGDE,4.9,5.9,11.2,16.9,21.5,26.0,29.4,29.7,25.9,19.7,12.5,7.0,17.6
ORDU,11.1,10.7,12.1,15.2,19.3,24.3,27.2,28.1,24.8,20.6,16.3,12.9,18.6
RIZE,10.6,10.5,12.0,15.6,19.5,24.0,26.5,27.2,24.5,20.6,16.2,12.7,18.3
SAKARYA,9.8,10.6,13.6,18.8,23.6,27.7,29.4,29.6,26.4,21.4,16.2,11.7,19.9
SAMSUN,10.9,10.6,12.0,15.0,18.7,23.6,26.7,27.4,24.2,20.2,16.3,12.9,18.2
SIIRT,6.9,8.7,13.6,19.5,25.3,32.4,37.2,37.0,32.3,24.6,15.3,8.8,21.8
SINOP,9.7,9.4,10.7,14.2,18.4,23.3,26.2,26.8,23.5,19.5,15.2,11.8,17.4
SIVAS,1.2,2.4,8.4,15.4,20.0,24.2,28.1,28.8,24.9,18.4,9.9,3.6,15.4
TEKIRDAG,8.5,8.8,11.2,15.8,20.6,25.4,28.1,28.3,24.5,19.8,14.4,10.3,18.0
TOKAT,6.4,8.0,13.1,19.2,23.4,26.9,29.3,30.1,26.9,20.7,13.2,7.8,18.8
TRABZON,10.8,10.6,12.2,15.6,19.1,23.7,26.6,27.2,24.2,20.3,16.1,12.9,18.3
TUNCELI,2.9,4.6,10.9,17.9,23.7,29.9,34.9,35.1,30.4,22.4,12.9,5.5,19.3
SANLIURFA,10.3,11.8,16.7,22.6,29.0,35.1,39.0,38.5,34.1,27.0,18.2,12.1,24.5
USAK,7.4,7.9,12.0,16.7,22.1,27.0,30.7,31.0,26.6,20.5,13.8,8.9,18.7
VAN,2.2,2.8,6.8,12.9,18.2,23.9,28.0,28.1,24.1,17.3,10.0,4.7,14.9
YOZGAT,2.5,3.6,8.3,14.1,18.7,22.8,26.2,26.8,23.1,17.0,9.9,4.5,14.8
ZONGULDAK,9.3,9.1,10.9,15.0,18.8,23.1,25.2,25.4,22.5,18.6,14.7,11.4,17.0
AKSARAY,5.6,7.0,12.4,18.0,22.8,27.2,30.6,30.8,26.9,20.8,13.2,7.5,18.6
BAYBURT,-1.1,0.0,5.6,12.8,17.9,22.6,26.9,27.5,23.4,16.6,8.2,1.7,13.5
KARAMAN,5.4,6.6,12.2,18.2,23.3,28.0,31.3,31.4,27.5,20.8,13.1,7.4,18.8
KIRIKKALE,4.5,6.9,12.5,18.2,23.2,27.6,30.8,31.1,27.1,20.6,12.2,6.0,18.4
BATMAN,7.7,10.6,15.7,21.7,27.6,34.9,39.5,39.1,34.4,26.5,16.7,9.5,23.7
SIRNAK,5.9,6.4,11.1,16.3,22.2,29.2,33.6,33.4,28.7,21.4,13.6,8.2,19.2
BARTIN,9.1,9.9,12.9,17.7,22.0,25.9,28.1,28.4,24.8,20.4,15.3,10.9,18.8
ARDAHAN,-5.1,-3.6,2.4,10.7,15.7,20.1,23.9,24.6,20.9,14.6,6.2,-1.8,10.7
IGDIR,2.0,5.7,13.1,19.9,24.3,29.7,33.6,33.3,29.1,21.4,12.9,4.8,19.2
YALOVA,10.5,10.7,12.9,17.4,22.0,26.7,29.1,29.4,25.8,20.9,15.9,12.2,19.5
KARABUK,7.6,10.2,14.5,20.3,25.6,29.2,32.6,32.8,28.3,22.0,14.1,9.1,20.5
KILIS,9.9,11.2,15.8,21.3,27.3,32.8,36.2,36.2,32.7,26.2,17.6,11.5,23.2
OSMANIYE,14.5,15.6,18.7,23.2,27.7,31.5,33.5,34.2,31.9,28.1,21.3,15.8,24.7
DUZCE,8.2,9.9,13.4,18.7,23.2,26.9,28.8,29.1,25.8,20.6,15.0,10.1,19.1
