City,January,February,March,April,May,June,July,August,September,October,November,December,Yearly
ADANA,5.5,5.9,8.5,12.3,16.2,20.4,23.9,24.2,21.0,16.4,10.7,7.0,14.3
ADIYAMAN,1.4,2.0,5.4,9.9,14.4,19.7,23.7,23.4,18.9,13.6,7.3,3.3,11.9
AFYONKARAHISAR,-3.2,-2.6,0.3,4.7,8.5,12.0,14.7,14.6,10.7,6.5,1.8,-1.1,5.6
AGRI,-15.9,-14.6,-7.6,1.1,5.2,8.6,12.5,12.3,7.3,2.6,-3.6,-10.3,-0.2
AMASYA,-1.1,-0.5,2.6,6.9,10.5,14.0,16.4,16.4,12.7,8.5,3.3,0.9,7.5
ANKARA,-2.7,-2.1,1.1,5.8,9.8,13.3,16.4,16.6,12.2,7.7,2.4,-0.5,6.7
ANTALYA,5.5,5.8,7.5,10.7,14.8,19.4,22.6,22.6,19.0,15.0,10.0,7.1,13.3
ARTVIN,-0.6,-0.3,2.3,6.8,10.6,13.9,16.7,17.1,14.0,10.3,5.1,1.3,8.1
AYDIN,4.3,4.6,6.6,10.1,14.2,18.3,20.7,20.4,16.8,12.8,8.4,5.8,11.9
BALIKESIR,1.1,1.3,3.1,7.0,10.8,15.2,18.0,18.2,14.1,10.3,5.2,3.0,8.9
BILECIK,-0.1,0.0,2.5,6.8,10.8,14.3,16.5,16.7,13.2,9.7,5.1,2.0,8.1
BINGOL,-6.0,-5.3,-0.4,5.7,10.0,14.6,18.9,18.6,13.5,8.3,2.1,-3.0,6.4
BITLIS,-6.2,-5.8,-1.8,3.3,7.4,11.6,15.8,15.1,10.8,6.4,0.7,-3.9,4.5
BOLU,-2.7,-2.5,0.0,4.2,7.7,10.9,13.3,13.6,10.1,6.7,2.0,-0.6,5.2
BURDUR,-1.1,-0.9,1.8,5.9,10.0,14.0,17.1,17.1,12.8,8.3,3.4,0.6,7.4
BURSA,1.7,1.6,3.5,7.3,11.3,15.4,17.7,17.8,14.0,10.2,5.7,3.5,9.1
CANAKKALE,3.4,3.3,5.0,8.8,13.0,17.3,20.0,20.3,16.3,12.5,8.2,5.4,11.1
CANKIRI,-4.2,-3.5,-0.4,4.4,8.3,11.8,14.4,14.0,9.7,5.3,0.4,-2.1,4.8
CORUM,-4.4,-4.0,-1.0,3.6,6.9,10.1,12.2,12.2,8.9,5.0,0.2,-2.2,4.0
DENIZLI,2.5,2.8,5.3,9.5,13.7,18.1,20.9,20.6,16.4,11.9,7.0,4.2,11.1
DIYARBAKIR,-2.6,-1.6,2.2,6.6,10.8,16.7,21.5,20.7,15.6,10.0,3.4,-0.6,8.6
EDIRNE,-0.5,0.0,2.8,7.1,11.4,15.5,17.5,17.4,13.5,9.2,4.6,1.2,8.3
ELAZIG,-3.7,-3.1,1.0,6.3,10.2,14.8,19.0,18.7,13.9,8.7,2.6,-1.0,7.3
ERZINCAN,-6.4,-5.2,-0.4,5.3,9.0,12.8,16.2,15.9,11.1,6.4,0.7,-3.5,5.2
ERZURUM,-15.8,-14.6,-7.8,-0.5,3.3,6.2,10.1,9.8,4.7,0.5,-5.6,-11.9,-1.8
ESKISEHIR,-3.7,-3.4,-0.9,3.5,7.3,11.0,13.7,13.6,9.2,5.1,1.4,-1.7,4.6
GAZIANTEP,-0.2,0.1,3.4,7.7,12.2,17.3,21.3,21.2,16.6,10.8,4.8,1.3,9.7
GIRESUN,5.0,4.3,5.5,8.7,12.9,17.3,20.4,20.9,17.7,14.1,9.8,7.0,12.0
GUMUSHANE,-5.8,-5.6,-1.6,3.5,7.1,10.5,13.6,13.6,9.8,5.8,0.4,-3.3,4.0
HAKKARI,-8.0,-7.1,-2.1,3.9,9.1,14.3,18.4,18.1,14.1,7.8,0.8,-5.1,5.4
HATAY,4.7,5.5,8.6,12.4,16.4,20.9,24.0,24.8,21.3,15.7,9.4,5.9,14.1
ISPARTA,-2.2,-1.8,0.7,4.5,8.2,12.2,15.3,15.0,10.4,6.3,1.9,-0.7,5.8
MERSIN,7.1,7.4,10.1,13.9,17.8,21.8,25.0,25.3,22.1,17.7,12.3,8.6,15.8
ISTANBUL,3.5,2.9,4.4,7.8,12.2,16.7,19.7,20.4,16.8,13.2,8.5,5.5,11.0
IZMIR,6.0,5.9,7.9,11.6,15.7,20.4,23.0,22.9,19.0,15.0,10.5,7.7,13.8
KARS,-15.3,-13.9,-7.3,-0.2,3.8,7.0,10.2,10.1,5.6,1.0,-4.9,-11.2,-1.3
KASTAMONU,-4.0,-3.8,-0.9,3.5,7.3,10.6,12.7,12.7,9.2,5.4,0.6,-2.3,4.3
KAYSERI,-6.2,-5.2,-1.2,3.6,7.0,10.1,12.6,12.2,7.9,4.2,-0.7,-4.3,3.3
KIRKLARELI,0.3,0.4,2.8,7.2,11.4,15.6,18.0,17.8,13.9,9.9,5.3,2.1,8.7
KIRSEHIR,-4.0,-3.6,-0.1,4.8,8.8,12.7,15.9,16.1,11.5,6.8,1.2,-1.9,5.7
KOCAELI,3.4,3.2,4.9,8.8,12.9,17.0,19.3,19.6,16.2,12.7,8.2,5.5,11.0
KONYA,-4.2,-3.8,-0.3,4.5,8.7,13.1,16.5,16.3,11.6,6.4,0.7,-2.4,5.6
KUTAHYA,-2.9,-2.6,0.1,4.3,7.9,11.4,13.8,13.8,9.6,6.0,1.7,-0.8,5.2
MALATYA,-2.5,-1.8,2.4,7.6,11.8,16.4,20.2,20.2,15.7,10.1,3.6,-0.5,8.6
MANISA,3.1,3.4,5.5,9.4,13.9,18.6,21.6,21.4,16.8,12.5,7.3,4.8,11.5
K.MARAS,1.5,2.2,5.7,10.0,14.3,19.0,22.3,22.4,18.6,13.1,6.9,3.2,11.6
MARDIN,0.8,1.2,4.7,10.0,15.2,20.3,24.7,24.7,20.8,14.7,7.7,2.9,12.3
MUGLA,1.6,1.5,3.5,7.0,11.4,16.4,20.0,20.0,15.3,10.3,5.4,3.1,9.6
MUS,-11.3,-10.0,-3.2,4.3,8.6,12.6,16.8,16.7,11.8,6.6,0.1,-5.9,3.9
NEVSEHIR,-3.7,-3.4,0.2,4.9,8.5,11.5,13.5,13.5,10.3,6.6,1.8,-1.7,5.2
NIGDE,-4.5,-3.8,0.0,4.8,8.6,12.3,15.2,14.9,10.7,6.4,1.2,-2.5,5.3
ORDU,4.0,3.5,4.9,8.2,12.2,16.5,19.6,20.2,16.8,13.1,8.4,5.7,11.1
RIZE,3.6,3.3,4.8,8.4,12.5,16.7,19.9,20.4,17.0,13.2,8.4,5.3,11.1
SAKARYA,3.2,2.9,4.6,8.2,12.2,16.0,18.4,18.5,14.8,11.5,7.4,5.2,10.2
SAMSUN,4.1,3.4,4.6,7.7,11.6,16.1,19.3,19.9,16.6,12.9,8.6,6.1,10.9
SIIRT,-0.1,0.6,4.5,9.5,14.0,19.5,23.8,23.5,19.0,13.2,6.5,2.0,11.3
SINOP,4.7,3.9,5.1,8.0,12.2,16.9,20.0,20.6,17.5,13.9,9.5,6.6,11.6
SIVAS,-6.7,-6.3,-1.6,3.6,7.3,10.4,12.7,12.6,8.9,5.0,-0.3,-4.0,3.5
TEKIRDAG,2.2,2.0,4.1,8.1,12.4,16.7,19.0,19.5,16.0,12.1,7.4,4.2,10.3
TOKAT,-1.5,-1.2,2.2,6.7,9.8,13.0,15.7,15.8,12.4,8.5,3.1,0.2,7.1
TRABZON,4.6,4.1,5.5,8.7,12.7,17.0,20.2,20.6,17.4,13.7,9.2,6.4,11.7
TUNCELI,-5.2,-4.0,0.9,6.4,10.2,14.7,19.2,18.7,13.4,8.5,2.0,-2.2,6.9
SANLIURFA,2.5,3.0,6.4,10.9,16.0,21.3,24.9,24.4,20.4,15.1,8.4,4.3,13.1
USAK,-1.0,-1.0,1.4,5.5,9.3,13.0,16.0,16.2,12.1,8.1,3.5,0.8,7.0
VAN,-7.0,-6.3,-2.1,3.3,7.6,11.7,15.5,15.4,11.5,6.4,0.6,-4.0,4.4
YOZGAT,-5.1,-4.8,-1.5,3.5,7.4,10.7,13.2,13.4,9.8,5.7,0.4,-2.9,4.1
ZONGULDAK,3.7,3.1,4.6,8.2,12.1,16.1,18.3,18.6,15.6,12.4,8.5,5.7,10.6
AKSARAY,-3.5,-2.8,0.8,5.6,9.6,13.2,16.3,16.1,11.4,6.9,1.7,-1.6,6.1
BAYBURT,-10.6,-9.9,-4.5,1.6,5.4,8.1,11.1,11.0,7.3,3.5,-2.1,-7.2,1.1
KARAMAN,-4.0,-3.6,0.0,4.9,8.7,12.6,15.4,15.1,10.5,5.9,0.9,-2.0,5.4
KIRIKKALE,-2.6,-1.9,1.4,6.3,10.2,14.0,16.9,16.9,12.4,7.8,2.3,-0.7,6.9
BATMAN,-1.0,0.4,4.0,8.5,12.2,17.0,21.3,20.7,15.9,10.9,4.6,0.7,9.6
SIRNAK,-1.5,-1.2,3.0,7.5,12.6,19.0,22.9,23.0,18.4,12.1,5.1,0.5,10.1
BARTIN,0.5,0.1,2.2,5.9,9.7,13.4,15.8,15.7,12.2,9.0,4.3,2.0,7.6
ARDAHAN,-16.7,-15.7,-8.9,-1.2,3.0,5.9,9.0,8.8,4.4,0.2,-5.5,-12.9,-2.5
IGDIR,-7.6,-4.7,0.7,6.8,10.8,15.0,18.7,18.1,12.8,5.8,0.5,-4.4,6.0
YALOVA,3.3,2.9,4.3,7.9,11.9,16.0,18.2,18.5,15.1,11.8,7.6,5.2,10.2
KARABUK,-0.1,0.2,2.6,6.6,10.4,13.8,16.6,16.7,13.0,9.2,3.6,1.1,7.8
KILIS,2.5,3.1,6.1,10.2,14.6,18.5,21.3,21.5,18.8,14.6,8.3,4.1,12.0
OSMANIYE,3.2,4.2,6.9,10.7,14.6,18.6,22.3,22.9,19.0,14.2,7.9,4.6,12.4
DUZCE,0.5,0.8,3.1,7.1,10.9,14.5,16.9,17.1,13.3,9.8,4.9,2.4,8.4
