City,January,February,March,April,May,June,July,August,September,October,November,December,Yearly
ADANA,105.1,85.1,60.4,50.3,42.8,19.3,9.4,7.0,15.1,47.9,82.6,120.7,645.7
ADIYAMAN,125.7,110.7,90.1,59.8,35.1,8.6,1.1,1.0,4.6,43.9,80.3,128.3,689.2
AFYONKARAHISAR,39.9,38.4,42.5,50.7,40.6,30.9,19.8,15.5,17.1,38.1,38.7,48.6,420.8
AGRI,36.8,50.0,49.1,77.5,78.5,46.9,19.5,12.4,16.4,54.7,50.7,41.4,533.9
AMASYA,43.2,36.7,43.9,60.0,54.0,39.7,15.7,11.5,21.4,42.8,52.1,52.7,473.7
ANKARA,36.3,35.4,39.0,51.1,46.7,34.7,16.8,12.3,17.4,33.6,38.5,42.1,403.9
ANTALYA,208.7,134.6,104.0,62.7,31.4,8.5,2.9,2.3,11.5,77.6,176.6,267.0,1087.8
ARTVIN,100.0,75.0,62.6,55.7,55.2,47.8,35.2,31.4,35.2,61.9,81.1,90.9,732.0
AYDIN,96.3,86.8,73.8,54.0,36.2,8.9,2.7,2.8,10.0,39.7,92.6,117.6,621.4
BALIKESIR,66.7,62.5,57.4,48.1,37.8,20.8,8.9,3.0,19.2,47.6,80.9,91.9,544.8
BILECIK,48.2,40.5,43.0,44.4,40.1,36.1,21.0,8.9,22.2,49.1,43.6,54.0,451.1
BINGOL,124.0,141.1,133.3,113.5,79.2,20.6,7.0,5.1,11.8,71.0,115.8,130.9,953.3
BITLIS,141.2,183.8,178.1,163.6,104.0,27.2,7.0,4.9,18.0,89.0,163.8,152.2,1232.8
BOLU,56.2,46.7,50.1,49.5,55.2,52.1,34.7,24.4,25.6,47.9,48.2,59.5,550.1
BURDUR,47.1,39.3,45.9,51.7,38.0,25.1,17.4,8.5,15.3,32.6,44.3,59.4,424.6
BURSA,81.3,76.0,66.9,64.4,41.6,36.9,20.3,12.9,40.4,81.1,83.6,94.8,700.2
CANAKKALE,80.5,69.5,66.8,45.8,31.2,19.4,11.3,3.3,18.5,56.9,83.4,105.3,591.9
CANKIRI,37.0,29.1,35.0,49.8,53.7,39.4,21.5,18.4,16.5,32.0,30.8,45.7,408.9
CORUM,35.1,28.6,36.8,52.6,60.5,56.3,22.5,15.3,22.7,31.6,40.2,44.6,446.8
DENIZLI,74.0,74.1,65.0,56.2,37.4,25.9,17.7,8.9,11.8,31.6,65.5,84.5,552.6
DIYARBAKIR,64.5,68.0,67.5,56.9,39.1,9.8,0.5,0.4,5.5,37.3,54.4,65.7,469.6
EDIRNE,54.3,49.3,52.5,43.4,53.7,38.6,34.3,24.6,36.3,50.6,74.1,70.7,582.4
ELAZIG,35.9,38.9,47.3,60.9,48.1,12.9,2.2,0.6,7.2,47.5,46.4,38.2,386.1
ERZINCAN,24.1,29.5,41.0,53.7,54.3,28.8,8.7,6.9,15.1,48.2,42.7,27.5,380.5
ERZURUM,17.9,22.2,34.2,55.7,68.8,41.2,26.0,16.1,20.7,48.4,31.9,21.8,404.9
ESKISEHIR,35.1,27.9,30.6,44.0,40.5,24.4,13.4,8.3,13.7,30.2,35.8,43.7,347.6
GAZIANTEP,92.9,87.2,70.9,49.1,29.5,6.7,3.0,3.3,8.3,41.3,74.0,92.0,558.2
GIRESUN,117.6,95.5,89.4,79.8,67.9,81.8,85.5,86.4,120.7,185.6,157.3,118.4,1285.9
GUMUSHANE,34.5,35.4,40.4,60.0,69.6,45.0,13.9,12.7,24.6,50.3,48.1,35.6,470.1
HAKKARI,84.2,105.7,106.0,114.6,65.1,13.2,5.1,3.0,5.7,58.3,85.7,96.0,742.6
HATAY,170.4,166.8,145.8,96.9,90.3,15.0,3.3,2.7,44.7,67.7,119.8,168.8,1092.2
ISPARTA,60.4,57.9,54.0,58.2,43.9,26.4,15.7,13.9,15.4,32.8,49.1,73.1,500.8
MERSIN,102.3,81.1,51.1,33.6,25.3,9.4,7.5,5.1,7.4,39.2,84.9,138.6,585.5
ISTANBUL,99.5,82.1,69.2,43.1,31.5,40.6,39.6,41.9,64.4,102.3,110.3,125.1,849.6
IZMIR,112.2,99.7,82.9,46.4,25.4,7.5,2.1,1.7,19.9,43.2,109.7,137.9,688.6
KARS,20.3,22.4,31.2,54.2,76.6,72.4,60.7,44.7,27.4,45.1,28.9,22.6,506.5
KASTAMONU,29.2,27.9,33.8,53.9,70.2,70.4,39.7,33.6,31.4,39.7,33.1,37.4,500.3
KAYSERI,30.5,34.5,41.1,53.3,57.2,37.3,14.1,6.1,10.5,37.4,38.3,39.3,399.6
KIRKLARELI,48.1,42.7,47.5,39.3,47.7,50.6,27.8,19.5,33.4,44.6,71.0,62.9,535.1
KIRSEHIR,38.7,31.4,33.1,47.8,42.4,33.0,8.1,5.7,12.4,31.7,45.8,48.4,378.5
KOCAELI,96.5,79.9,73.6,55.4,44.9,50.9,46.2,42.9,50.0,96.6,90.4,103.7,831.0
KONYA,30.8,23.2,25.5,35.9,38.6,20.5,7.8,5.6,11.3,29.7,39.0,43.9,311.8
KUTAHYA,59.6,55.3,50.2,56.2,46.5,27.6,19.3,17.7,19.5,39.8,57.0,72.4,521.1
MALATYA,34.9,37.9,46.9,51.1,45.2,18.3,2.6,1.3,6.8,40.1,41.2,38.2,364.5
MANISA,108.7,101.8,79.7,55.4,31.6,12.7,5.3,4.0,15.0,43.2,96.1,132.2,685.7
K.MARAS,120.1,113.1,95.3,70.3,39.9,5.2,1.1,0.6,7.8,54.5,98.5,127.2,733.6
MARDIN,97.9,110.5,91.1,73.3,36.3,7.1,1.7,0.4,2.5,34.2,67.2,98.7,620.9
MUGLA,200.8,174.4,124.3,69.1,46.9,21.0,7.9,9.0,16.9,58.2,155.7,242.4,1126.6
MUS,81.2,106.4,102.2,105.6,73.0,28.7,6.3,5.3,12.9,62.9,97.2,85.8,767.5
NEVSEHIR,39.4,41.5,44.0,49.7,60.4,29.0,11.0,4.6,10.5,37.4,42.1,49.9,419.5
NIGDE,31.2,31.0,33.4,42.5,46.4,24.5,5.7,5.3,7.6,30.4,39.3,41.8,339.1
ORDU,96.0,86.7,78.8,73.0,56.8,73.9,62.0,55.2,81.4,143.6,139.0,102.2,1048.6
RIZE,207.2,182.5,152.7,88.0,100.4,138.7,150.7,179.2,245.4,320.5,256.3,247.0,2268.6
SAKARYA,91.6,76.5,71.2,61.5,49.7,69.1,55.4,44.5,47.1,92.1,86.2,101.0,845.9
SAMSUN,59.9,52.6,59.4,54.0,49.9,49.7,32.8,37.6,47.8,92.7,88.3,75.1,699.8
SIIRT,77.6,99.2,111.2,96.9,62.6,9.8,2.7,1.7,4.0,47.5,87.7,90.8,691.7
SINOP,72.6,52.0,51.7,37.3,33.9,36.7,39.6,42.3,65.3,98.2,91.8,83.9,705.3
SIVAS,40.2,40.9,47.0,64.2,58.8,34.8,10.3,5.9,16.7,41.0,48.0,44.0,451.8
TEKIRDAG,60.6,56.5,55.6,40.4,36.0,34.7,27.0,12.5,36.4,61.5,74.8,82.8,578.8
TOKAT,38.6,36.5,40.5,60.3,63.3,36.1,11.2,7.2,17.0,49.1,52.0,44.1,455.9
TRABZON,77.4,63.8,61.9,59.7,53.1,50.0,39.2,48.8,76.6,126.2,103.3,81.6,841.6
TUNCELI,109.1,105.7,101.1,97.4,67.1,19.8,3.7,3.3,15.7,69.6,102.7,113.8,809.0
SANLIURFA,76.7,70.3,63.9,40.9,26.2,4.2,0.9,1.2,4.1,27.7,50.2,67.5,433.8
USAK,59.0,63.1,56.4,59.4,41.7,20.0,18.9,9.9,14.1,40.4,67.6,75.6,526.1
VAN,32.4,31.9,48.9,53.2,48.3,17.9,6.2,4.2,14.0,43.0,52.1,41.7,393.8
YOZGAT,64.4,64.4,64.1,68.5,60.4,45.3,16.7,11.1,19.1,43.3,71.4,82.1,610.8
ZONGULDAK,129.2,88.3,89.9,56.9,49.6,76.0,84.7,83.5,126.4,161.5,151.1,149.6,1246.7
AKSARAY,35.7,30.9,35.3,49.8,41.7,22.7,8.3,3.9,8.4,26.5,36.1,44.6,343.9
BAYBURT,27.6,30.3,41.8,63.7,73.4,48.2,21.8,13.6,22.8,49.9,36.6,27.9,457.6
KARAMAN,37.7,32.4,32.5,33.1,35.8,21.0,5.7,5.7,5.8,26.1,34.1,44.4,314.3
KIRIKKALE,36.9,30.4,33.7,48.5,48.4,38.0,12.8,8.7,12.7,29.2,37.3,45.9,382.5
BATMAN,56.8,67.5,76.8,65.4,40.0,8.4,0.5,0.7,3.3,28.7,57.1,63.6,468.8
SIRNAK,90.3,130.1,112.9,95.2,47.2,3.8,2.7,0.2,4.9,42.5,84.3,95.8,709.9
BARTIN,107.7,84.7,74.3,54.9,47.4,77.6,69.6,74.8,98.6,118.1,118.8,121.1,1047.6
ARDAHAN,20.1,22.8,33.5,54.5,85.0,94.7,70.9,56.6,35.7,42.3,32.5,25.3,573.9
IGDIR,12.9,16.5,21.1,39.6,49.4,32.8,15.5,10.6,10.5,26.8,19.1,11.9,266.7
YALOVA,88.0,71.8,67.9,52.7,35.6,43.1,25.0,28.8,48.4,93.3,93.6,102.4,750.6
KARABUK,48.4,37.1,45.6,53.0,49.4,53.8,32.5,30.3,29.9,41.6,31.8,43.6,497.0
KILIS,76.0,72.4,61.5,41.9,23.2,6.7,1.4,1.7,6.0,34.1,63.5,78.5,466.9
OSMANIYE,94.6,106.5,121.6,87.3,73.1,28.6,10.7,5.9,27.8,76.6,109.0,100.2,841.9
DUZCE,85.9,73.0,70.8,58.7,53.9,58.0,47.5,43.6,48.8,87.9,85.3,95.6,809.0
