City,January,February,March,April,May,June,July,August,September,October,November,December,Yearly
ADANA,9.4,9.6,9.3,9.3,6.5,2.9,1.1,0.8,2.8,5.8,7.8,9.7,75.0
ADIYAMAN,11.5,12.0,12.1,11.6,7.9,2.6,0.7,0.5,1.4,6.7,9.2,11.5,87.7
AFYONKARAHISAR,12.0,12.4,12.5,12.8,11.5,7.1,4.2,3.8,4.2,7.7,9.3,13.0,110.5
AGRI,11.2,11.7,11.8,15.0,16.2,10.8,6.4,4.4,4.8,9.4,9.1,10.9,121.7
AMASYA,11.3,10.7,11.9,13.0,12.3,8.9,3.6,2.8,4.9,8.1,9.6,12.3,109.4
ANKARA,11.2,10.4,10.2,12.1,11.9,8.9,3.8,3.0,3.8,7.5,9.2,11.2,103.2
ANTALYA,12.2,10.3,8.7,6.7,4.9,2.6,1.5,1.5,2.1,5.2,8.0,11.2,74.9
ARTVIN,12.4,12.7,12.6,12.8,13.9,12.3,8.5,8.3,8.4,11.0,11.0,11.7,135.6
AYDIN,10.4,9.7,9.1,8.3,5.6,1.6,0.7,0.6,2.0,5.1,8.2,12.2,73.5
BALIKESIR,12.7,11.7,11.0,8.9,6.8,4.2,1.8,1.3,3.5,7.2,9.8,13.2,92.1
BILECIK,13.7,13.1,12.5,11.2,9.9,7.6,4.6,3.4,5.2,8.9,11.0,13.7,114.8
BINGOL,12.1,12.5,13.9,14.9,14.1,5.9,1.9,1.8,2.7,8.9,9.6,12.5,110.8
BITLIS,12.7,13.1,15.5,15.8,14.1,5.9,2.0,1.5,2.7,10.2,11.1,12.7,117.3
BOLU,15.0,14.3,15.0,13.2,13.1,11.6,6.9,5.4,7.4,10.6,12.5,15.9,140.9
BURDUR,9.6,9.6,9.8,10.5,8.9,5.5,3.2,2.3,3.3,5.8,8.0,10.6,87.1
BURSA,13.9,12.6,12.1,11.3,7.8,5.9,3.2,3.1,5.5,9.8,11.4,14.4,111.0
CANAKKALE,10.5,10.1,8.7,8.2,5.3,3.9,2.1,1.2,2.9,6.2,9.0,12.3,80.4
CANKIRI,10.9,9.3,9.1,11.9,12.7,10.2,4.6,4.0,4.3,7.0,8.1,10.8,102.9
CORUM,11.1,10.5,11.7,13.0,13.9,11.0,4.5,3.5,4.7,7.8,9.3,11.9,112.9
DENIZLI,11.0,10.9,10.8,10.4,7.7,4.3,2.3,2.0,2.9,5.7,8.2,11.8,88.0
DIYARBAKIR,11.5,11.7,11.6,11.0,8.7,3.1,0.4,0.3,1.2,6.1,8.7,11.0,85.3
EDIRNE,11.8,8.4,9.6,10.1,9.5,7.8,5.6,4.2,4.8,7.3,10.5,13.6,103.2
ELAZIG,10.9,10.9,11.7,11.7,10.3,4.3,1.2,0.8,2.3,7.5,9.3,11.0,91.9
ERZINCAN,8.7,9.3,11.2,13.9,13.9,9.0,3.6,2.9,4.2,9.3,9.1,9.8,104.9
ERZURUM,11.2,11.8,12.8,14.9,16.7,10.5,6.8,5.9,5.0,10.9,10.2,11.2,127.9
ESKISEHIR,12.2,11.2,11.3,11.4,9.7,6.7,3.6,2.9,4.0,8.2,10.0,12.9,104.1
GAZIANTEP,11.9,12.3,11.8,10.5,7.0,2.1,0.7,0.4,1.9,6.5,9.3,11.6,86.0
GIRESUN,15.2,14.5,16.1,15.8,14.8,12.8,11.5,10.4,12.8,15.6,14.0,15.0,168.5
GUMUSHANE,11.4,11.3,12.7,13.7,15.6,10.7,4.5,3.8,5.6,10.0,10.4,11.6,121.3
HAKKARI,11.1,10.4,12.3,13.2,12.1,4.2,1.5,1.1,1.6,8.8,9.3,9.9,95.5
HATAY,14.4,13.8,12.6,9.5,6.2,2.2,0.8,0.8,3.7,7.5,9.8,13.0,94.3
ISPARTA,11.0,10.6,10.7,11.1,9.7,5.9,3.4,2.5,3.6,5.9,8.3,11.4,94.1
MERSIN,9.0,9.3,7.3,7.4,5.7,2.4,1.1,0.9,1.8,5.7,7.6,10.0,68.2
ISTANBUL,16.9,15.2,13.2,10.0,7.4,7.0,4.7,5.1,8.1,12.3,13.9,17.5,131.3
IZMIR,10.3,10.4,8.4,7.6,4.8,1.5,0.4,0.4,2.1,5.2,8.9,12.4,72.4
KARS,9.5,10.0,11.7,14.0,18.4,14.6,11.1,9.4,6.6,10.2,9.0,10.2,134.7
KASTAMONU,12.4,11.0,12.3,13.7,14.4,12.2,7.1,6.3,6.6,9.8,10.4,12.6,128.8
KAYSERI,10.6,11.2,11.8,13.0,13.2,8.5,2.5,1.9,3.4,7.5,9.1,11.3,104.0
KIRKLARELI,9.7,8.4,9.5,10.1,9.4,8.6,4.7,3.7,5.0,7.1,8.8,11.5,96.5
KIRSEHIR,11.6,10.6,10.6,11.5,11.8,7.2,2.6,1.7,3.3,7.1,9.7,12.4,100.1
KOCAELI,17.3,15.9,13.8,11.7,9.5,9.0,6.2,5.2,7.4,13.0,13.7,17.3,140.0
KONYA,9.0,8.7,8.6,10.5,10.6,6.2,2.4,1.7,2.9,6.2,7.3,9.0,83.1
KUTAHYA,13.6,12.5,12.9,12.7,11.1,7.0,4.0,3.8,4.6,8.6,10.8,14.3,115.9
MALATYA,9.8,11.0,11.3,11.2,10.3,5.0,1.1,1.0,2.1,7.2,9.0,10.2,89.2
MANISA,10.8,10.5,9.0,8.7,6.1,2.6,1.1,0.8,2.4,5.6,9.3,12.7,79.6
K.MARAS,11.9,12.2,12.2,11.1,7.9,2.2,0.5,0.5,2.1,6.7,9.2,11.6,88.1
MARDIN,10.3,10.2,10.8,9.7,6.3,1.8,0.6,0.2,0.8,5.1,7.3,9.9,73.0
MUGLA,12.8,12.5,10.6,9.8,7.3,3.3,2.0,1.6,2.8,5.9,9.7,14.0,92.3
MUS,13.3,12.8,13.8,14.9,14.2,6.7,2.0,1.7,3.0,9.6,10.6,12.7,115.3
NEVSEHIR,11.3,12.5,12.8,12.7,12.9,7.5,2.9,1.9,3.4,8.2,10.2,12.2,208.5
NIGDE,9.6,10.4,10.6,11.4,12.2,6.7,2.3,1.7,2.8,7.0,8.5,10.5,93.7
ORDU,14.9,14.1,15.7,14.5,13.1,11.5,10.0,8.9,12.2,15.0,13.6,14.6,158.1
RIZE,15.1,14.2,16.0,15.2,15.2,14.2,14.4,14.6,14.9,15.9,14.6,15.0,179.3
SAKARYA,15.7,14.0,13.2,11.6,9.8,8.8,6.3,6.2,7.3,12.4,13.0,15.9,134.2
SAMSUN,13.7,13.8,15.6,14.6,12.4,10.1,6.2,6.4,10.1,13.0,12.7,13.7,142.3
SIIRT,11.6,11.8,14.1,13.3,10.0,3.3,0.9,0.8,1.7,8.4,9.0,11.3,96.2
SINOP,15.1,12.8,13.1,11.4,9.9,8.5,5.9,6.5,8.7,12.7,13.0,15.6,133.2
SIVAS,12.3,11.7,13.3,14.3,13.8,8.7,2.8,2.4,4.3,8.6,10.3,12.2,114.7
TEKIRDAG,10.6,10.2,9.7,9.5,7.9,7.2,3.8,2.7,4.9,7.4,9.4,11.6,94.9
TOKAT,11.7,11.5,12.6,13.5,14.1,8.8,3.3,2.7,5.1,9.1,10.8,12.7,115.9
TRABZON,13.6,12.9,14.1,14.8,13.3,11.4,8.4,9.8,11.8,14.1,12.7,12.8,149.7
TUNCELI,11.7,12.5,13.5,14.1,12.6,5.4,1.7,1.3,2.9,9.1,10.2,11.9,106.9
SANLIURFA,11.4,11.0,10.5,9.6,6.6,1.7,0.3,0.3,1.0,5.3,8.7,10.4,76.8
USAK,11.0,11.1,10.5,11.0,9.5,4.6,3.4,2.6,3.5,6.7,8.7,12.3,94.9
VAN,10.3,10.3,12.5,12.6,11.8,5.5,2.3,1.6,2.3,8.6,9.6,10.3,97.7
