City,January,February,March,April,May,June,July,August,September,October,November,December,Yearly
ADANA,4.4,5.1,5.5,6.5,8.5,10.2,10.2,9.6,8.3,7.1,5.3,4.2,84.9
ADIYAMAN,4.1,4.4,6.6,7.3,9.4,11.6,12.2,11.4,10.1,7.2,5.3,4.0,93.6
AFYONKARAHISAR,2.5,3.5,5.0,6.0,8.6,9.4,10.5,10.3,8.3,6.1,4.2,2.2,76.6
AGRI,2.0,2.5,4.1,5.4,7.5,10.1,10.3,10.1,9.1,6.3,4.0,1.5,72.9
AMASYA,2.1,3.1,4.3,5.5,7.3,9.0,9.5,9.3,7.4,5.6,3.1,1.6,67.8
ANKARA,2.3,3.5,5.2,6.3,8.3,10.1,11.1,10.4,9.1,6.3,4.1,2.2,78.9
ANTALYA,5.4,6.0,6.9,8.0,9.9,11.6,11.8,11.2,9.7,7.9,6.2,5.1,99.7
ARTVIN,2.3,3.2,4.3,5.2,6.4,7.1,6.5,6.6,6.3,4.4,3.1,2.1,57.5
AYDIN,4.2,4.5,6.0,7.1,9.6,10.5,10.5,10.2,8.5,6.5,4.4,4.0,86.0
BALIKESIR,2.9,3.5,4.7,6.2,8.5,10.3,11.1,10.5,8.4,5.9,3.7,2.3,78.0
BILECIK,3.2,3.5,4.5,6.1,8.1,9.5,10.2,10.0,8.2,5.5,4.1,3.6,76.5
BINGOL,3.2,4.2,5.0,5.4,7.4,9.4,10.0,9.3,8.3,6.2,4.3,3.6,76.3
BITLIS,2.2,3.2,5.0,5.5,7.2,9.2,9.5,9.4,9.1,5.2,2.6,2.0,70.1
BOLU,1.6,2.5,4.6,5.2,7.6,8.2,8.4,8.4,6.5,4.3,3.0,1.5,61.8
BURDUR,3.5,4.7,5.5,6.3,8.3,10.3,10.8,10.2,8.5,6.7,4.9,2.8,82.5
BURSA,2.9,3.2,4.1,5.4,7.6,9.5,10.2,9.5,7.4,5.1,3.6,2.5,71.0
CANAKKALE,3.3,4.3,5.4,7.1,9.3,10.7,11.5,11.0,8.7,6.2,4.1,2.6,84.2
CANKIRI,2.0,3.3,4.8,5.6,7.2,8.8,9.6,9.2,7.9,5.7,3.4,1.7,69.2
CORUM,2.3,3.2,4.6,5.7,7.1,8.4,9.4,9.3,7.7,5.3,3.5,2.0,68.5
DENIZLI,3.5,4.1,5.4,6.4,8.6,10.5,11.0,10.2,8.6,6.3,4.4,3.1,82.1
DIYARBAKIR,3.9,4.8,5.6,7.0,9.6,12.1,12.3,11.6,9.8,7.4,5.5,3.7,93.3
EDIRNE,2.3,3.7,4.5,6.1,7.8,9.3,9.8,9.2,7.2,4.7,2.9,1.8,69.3
ELAZIG,3.0,4.1,5.6,7.0,9.4,11.8,12.5,11.7,10.0,7.2,4.8,2.6,89.7
ERZINCAN,2.9,4.0,5.1,5.7,7.3,9.4,10.3,9.7,8.5,6.2,4.1,2.5,75.7
ERZURUM,2.9,3.9,4.8,5.9,7.6,9.9,10.8,10.3,8.6,6.3,4.1,2.5,77.6
ESKISEHIR,2.5,3.8,5.2,6.2,8.5,10.2,11.2,10.8,8.8,6.1,4.0,2.1,79.4
GAZIANTEP,3.7,4.4,5.4,6.7,8.2,9.8,10.1,9.7,8.6,6.9,5.2,3.7,82.4
GIRESUN,*.*,*.*,*.*,*.*,*.*,*.*,*.*,*.*,*.*,*.*,*.*,*.*,NaN
GUMUSHANE,1.1,3.7,4.9,6.1,7.5,9.1,10.0,9.8,7.9,5.4,1.8,0.6,67.9
HAKKARI,4.2,5.2,6.0,6.7,9.0,11.9,12.3,11.5,10.2,7.3,5.4,4.0,93.7
HATAY,3.4,4.5,6.0,7.5,9.6,11.0,11.5,10.9,9.7,7.1,4.9,3.2,89.3
ISPARTA,3.8,4.8,6.0,6.9,8.7,10.7,11.4,11.0,9.5,7.1,5.1,3.3,88.3
MERSIN,5.0,5.6,6.8,7.6,8.8,10.1,10.2,10.0,9.4,7.8,5.9,4.8,92.0
ISTANBUL,2.2,3.2,4.6,6.0,8.0,9.6,10.3,9.3,7.8,5.1,3.1,2.0,71.2
IZMIR,4.0,4.7,6.1,6.9,9.1,11.0,11.3,10.8,9.2,7.1,5.0,3.6,88.8
KARS,3.2,4.0,5.0,5.9,7.3,9.1,10.3,10.1,8.3,6.2,4.4,3.1,76.9
KASTAMONU,2.2,3.5,4.6,5.6,7.2,8.2,9.5,9.4,7.1,5.3,3.4,1.7,67.7
KAYSERI,2.8,3.9,4.9,6.2,8.2,10.3,11.7,11.2,8.8,6.4,4.4,2.6,81.4
KIRKLARELI,2.1,3.2,4.4,5.2,7.3,7.6,8.3,8.3,6.4,4.6,3.3,1.9,62.6
KIRSEHIR,2.9,4.0,5.3,6.3,8.2,10.1,11.2,10.7,9.1,6.7,4.8,2.9,82.2
KOCAELI,2.2,2.7,3.8,5.1,6.6,8.2,8.4,8.1,6.5,4.4,3.1,2.2,61.3
KONYA,3.3,4.7,6.2,7.1,8.6,10.2,11.0,10.8,9.4,7.1,4.9,3.2,86.5
KUTAHYA,2.0,3.0,4.4,5.5,7.0,8.8,9.3,9.0,7.3,4.8,3.2,1.9,66.2
MALATYA,3.6,4.5,5.8,7.3,9.4,11.5,12.3,11.7,10.0,7.3,5.1,3.2,91.7
MANISA,2.8,3.7,5.1,6.2,8.0,10.2,10.6,10.2,8.6,6.4,3.7,2.1,77.6
K.MARAS,3.5,4.2,5.5,6.8,8.5,10.4,11.0,10.3,9.1,6.9,4.6,3.3,84.1
MARDIN,4.6,5.0,6.1,7.5,10.0,12.5,12.7,11.8,10.4,7.6,5.8,4.5,98.5
MUGLA,3.8,4.6,5.7,7.0,8.3,9.7,10.2,10.4,9.2,7.0,4.7,3.2,83.8
MUS,2.3,3.2,4.8,6.7,9.0,11.5,12.2,11.8,10.3,7.0,4.0,1.9,84.7
NEVSEHIR,3.2,4.0,5.4,6.6,8.6,10.9,12.0,11.6,9.6,6.5,4.5,3.0,85.9
NIGDE,3.9,4.8,6.0,7.1,8.8,11.0,12.0,11.4,10.0,7.4,5.2,3.8,91.4
ORDU,2.5,3.0,3.3,4.3,5.7,7.0,6.2,6.3,5.3,4.0,3.4,2.3,53.3
RIZE,2.0,2.9,3.5,4.5,5.7,6.6,5.2,5.2,5.1,3.9,2.8,1.9,49.3
SAKARYA,2.3,3.0,3.6,4.6,6.3,7.7,8.1,7.8,6.4,4.3,3.1,2.3,59.5
SAMSUN,2.9,3.5,3.9,4.9,6.5,8.2,8.8,8.5,6.5,4.7,3.9,2.9,65.2
SIIRT,3.6,4.4,5.5,6.7,9.1,11.7,12.2,11.4,10.1,7.2,5.1,3.4,90.4
SINOP,2.2,3.0,4.0,5.3,6.6,8.3,9.1,8.5,6.6,4.6,3.1,2.1,63.4
SIVAS,2.5,3.4,5.0,6.3,8.2,10.6,11.9,11.6,9.7,6.4,3.7,2.2,81.5
TEKIRDAG,2.6,3.3,4.1,5.6,7.7,9.0,9.7,8.8,7.2,4.8,3.3,2.4,68.5
TOKAT,2.8,3.8,5.0,6.2,7.5,8.6,8.8,9.4,8.4,6.0,4.2,2.5,73.2
TRABZON,2.5,3.1,3.3,4.2,5.6,6.7,5.6,5.4,5.0,4.2,3.5,2.5,51.6
TUNCELI,3.5,4.2,5.4,6.5,9.0,11.2,12.0,11.3,9.8,6.9,5.1,3.1,88.0
SANLIURFA,4.0,4.9,6.2,7.6,9.8,11.9,12.0,11.1,9.6,7.5,5.5,3.9,94.0
USAK,4.0,4.5,5.5,6.6,8.2,10.5,10.8,10.5,9.0,6.9,4.6,3.7,84.8
VAN,4.7,5.4,6.2,7.3,9.3,11.6,12.0,11.6,10.2,7.4,5.6,4.3,95.6
YOZGAT,3.1,4.1,5.4,6.6,8.3,10.2,11.2,11.0,9.1,6.7,4.6,3.0,83.3
ZONGULDAK,2.1,2.7,3.9,5.2,7.1,9.0,9.7,9.2,7.1,4.7,2.9,2.1,65.7
AKSARAY,3.1,4.2,5.5,7.0,9.1,11.1,12.0,11.4,9.6,7.1,4.5,3.1,87.7
BAYBURT,*.*,*.*,*.*,*.*,*.*,*.*,*.*,*.*,*.*,*.*,*.*,*.*,NaN
KARAMAN,3.6,4.5,6.5,7.9,10.0,12.1,12.8,12.1,10.4,7.5,5.2,3.4,96.0
KIRIKKALE,2.6,3.9,5.2,6.2,8.0,9.7,10.7,10.3,8.5,6.1,4.1,2.1,77.4
BATMAN,3.2,4.2,5.4,7.2,9.3,11.5,12.2,11.3,10.0,7.0,5.2,3.0,89.5
SIRNAK,0.0,2.4,5.0,7.4,9.2,11.2,12.4,11.9,10.1,7.7,6.6,3.9,87.8
BARTIN,2.2,3.1,4.1,5.4,7.2,9.0,9.4,9.2,7.2,5.1,3.3,2.1,67.3
ARDAHAN,2.6,3.4,5.6,5.1,7.1,8.3,9.6,8.2,7.3,5.4,4.1,2.5,69.2
IGDIR,2.6,4.2,5.4,6.0,7.6,9.5,10.1,9.8,8.6,6.2,4.4,2.4,76.8
YALOVA,1.8,2.8,3.9,5.0,6.8,8.1,8.5,8.1,6.7,4.5,2.5,1.4,60.1
KARABUK,*.*,*.*,*.*,*.*,*.*,*.*,*.*,*.*,*.*,*.*,*.*,*.*,NaN
KILIS,4.1,4.9,6.3,7.7,9.3,11.2,11.6,11.1,10.0,7.5,5.7,3.9,93.3
OSMANIYE,4.8,4.6,6.2,7.8,9.7,10.9,10.6,9.8,9.8,7.6,6.0,5.1,92.9
DUZCE,1.9,2.7,3.5,4.8,6.7,8.0,8.2,7.8,6.2,4.1,2.7,1.8,58.4
