City,January,February,March,April,May,June,July,August,September,October,November,December,Yearly
ADANA,26.5,28.5,32.0,37.5,41.3,42.8,44.4,45.6,43.2,41.5,34.3,30.8,45.6
ADIYAMAN,19.9,23.8,28.3,34.5,39.0,41.5,45.3,44.5,42.2,36.1,29.4,26.5,45.3
AFYONKARAHISAR,18.0,21.8,26.4,30.2,33.0,35.8,39.8,38.2,36.1,31.3,25.3,21.0,39.8
AGRI,9.6,13.0,21.5,27.2,32.7,37.9,39.8,39.9,35.3,29.2,19.8,16.0,39.9
AMASYA,21.3,24.8,31.2,35.8,37.5,41.8,45.0,42.2,40.3,36.0,29.7,22.9,45.0
ANKARA,16.6,21.3,27.8,31.6,34.4,37.0,41.0,40.4,37.7,33.3,24.7,20.4,41.0
ANTALYA,23.9,26.7,28.6,36.4,38.7,44.8,45.0,44.6,42.5,38.7,33.0,25.4,45.0
ARTVIN,18.9,21.5,28.4,34.4,36.4,39.0,42.0,43.0,39.5,33.9,27.9,20.9,43.0
AYDIN,23.2,27.4,32.4,35.4,40.2,44.4,44.8,43.8,43.3,38.0,30.7,25.9,44.8
BALIKESIR,23.5,25.2,30.7,35.2,38.5,42.5,43.2,43.7,40.3,36.4,29.9,26.1,43.7
BILECIK,22.0,24.6,30.2,33.3,35.8,38.2,41.0,40.6,38.4,34.3,27.4,25.0,41.0
BINGOL,13.3,16.2,22.3,30.3,33.4,38.0,42.0,41.3,37.8,32.1,25.5,22.8,42.0
BITLIS,15.1,21.9,23.0,27.8,29.4,34.0,38.0,37.4,35.2,30.2,22.0,15.6,38.0
BOLU,19.8,24.1,29.3,31.8,34.4,37.0,39.3,39.8,37.3,34.4,27.0,23.5,39.8
BURDUR,16.8,23.4,27.8,30.7,34.6,38.7,41.0,41.0,39.0,32.4,25.6,20.5,41.0
BURSA,25.2,26.9,32.5,36.2,37.0,41.3,43.8,42.6,40.3,37.3,31.0,27.3,43.8
CANAKKALE,20.0,21.3,27.3,30.8,38.9,36.8,39.0,39.1,35.9,31.7,26.2,22.9,39.1
CANKIRI,15.0,22.0,29.0,31.0,34.8,39.6,42.4,41.8,37.9,34.2,24.4,18.2,42.4
CORUM,17.5,20.4,28.6,30.4,35.1,37.5,42.6,40.2,38.7,33.6,25.6,19.2,42.6
DENIZLI,22.6,25.9,30.8,35.8,37.8,44.1,43.9,44.4,41.6,34.4,29.9,26.6,44.4
DIYARBAKIR,16.9,21.8,28.3,35.3,39.8,42.0,46.2,45.9,42.0,35.7,28.4,22.5,46.2
EDIRNE,20.5,23.3,28.0,33.5,37.1,42.6,44.1,41.9,39.9,35.8,28.0,22.8,44.1
ELAZIG,13.0,18.6,26.4,32.2,34.4,38.6,42.2,42.2,37.8,32.1,24.3,19.6,42.2
ERZINCAN,14.0,17.2,25.2,30.0,33.8,37.0,40.6,40.5,36.6,31.4,24.9,19.0,40.6
ERZURUM,8.0,10.6,21.4,26.5,29.6,32.2,35.6,36.5,33.3,27.0,20.7,14.0,36.5
ESKISEHIR,19.2,22.3,29.1,31.2,34.3,36.6,39.2,38.7,36.4,32.8,25.6,21.4,39.2
GAZIANTEP,19.0,24.3,28.1,34.0,37.8,40.2,44.0,42.8,40.8,36.4,27.3,25.2,44.0
GIRESUN,24.9,29.5,34.9,36.0,35.4,36.2,35.3,35.2,32.9,37.3,32.8,28.0,37.3
GUMUSHANE,14.8,18.0,24.0,29.0,32.6,36.2,41.0,41.1,37.0,32.0,22.1,19.2,41.1
HAKKARI,11.8,12.9,19.7,25.0,28.7,34.4,38.8,38.0,37.1,29.3,20.8,17.5,38.8
HATAY,20.7,26.6,30.5,37.5,42.5,43.2,44.6,43.9,42.6,39.2,32.5,25.1,44.6
ISPARTA,17.6,22.5,26.8,29.5,33.6,36.2,39.2,41.2,37.1,32.2,25.4,20.0,41.2
MERSIN,25.2,26.5,29.8,34.7,36.0,40.0,38.1,39.8,39.0,37.5,31.0,27.0,40.0
