City,January,February,March,April,May,June,July,August,September,October,November,December,Yearly
ADANA,-8.1,-6.6,-4.9,-1.3,5.6,9.2,13.2,14.8,9.3,3.5,-4.3,-4.4,-8.1
ADIYAMAN,-14.4,-10.0,-7.0,-2.0,3.4,10.6,15.0,15.8,9.6,2.2,-3.5,-8.4,-14.4
AFYONKARAHISAR,-27.0,-25.3,-17.0,-7.6,-3.1,1.0,4.0,2.4,-3.2,-7.9,-20.5,-24.3,-27.0
AGRI,-45.6,-42.8,-39.6,-22.2,-9.0,-3.0,1.7,1.2,-4.1,-13.0,-31.6,-39.8,-45.6
AMASYA,-21.0,-20.4,-15.3,-5.1,-0.1,4.8,8.5,8.8,3.0,-2.9,-9.5,-12.7,-21.0
ANKARA,-24.9,-24.2,-19.2,-7.2,-1.6,3.8,4.5,5.5,-1.5,-9.8,-17.5,-24.2,-24.9
ANTALYA,-4.3,-4.6,-1.6,1.4,6.7,11.1,14.8,13.6,10.3,4.9,0.0,-1.9,-4.6
ARTVIN,-16.1,-11.9,-9.8,-7.1,-0.6,3.7,9.5,9.5,4.2,-1.6,-8.2,-10.8,-16.1
AYDIN,-11.0,-5.4,-5.0,-0.8,4.6,8.4,13.4,11.8,7.6,1.6,-4.7,-5.3,-11.0
BALIKESIR,-21.8,-18.8,-8.0,-4.0,0.6,4.0,9.1,6.0,4.0,-2.3,-7.9,-12.9,-21.8
BILECIK,-16.0,-14.3,-11.6,-6.0,1.0,6.0,7.7,8.2,3.2,-0.8,-9.2,-14.5,-16.0
BINGOL,-23.2,-21.6,-20.3,-9.2,1.0,3.5,8.8,7.8,4.2,-2.4,-15.0,-25.1,-25.1
BITLIS,-24.1,-22.0,-20.3,-12.0,-2.5,1.0,7.0,7.0,0.0,-6.0,-17.0,-21.9,-24.1
BOLU,-31.5,-25.8,-19.8,-11.5,-2.3,0.0,2.8,1.4,-2.5,-5.8,-24.8,-29.1,-31.5
BURDUR,-16.7,-15.0,-11.6,-7.0,-0.4,3.8,9.0,8.8,3.4,-2.4,-12.0,-15.3,-16.7
BURSA,-20.5,-19.6,-10.5,-4.2,0.8,4.0,8.3,7.6,3.3,-1.0,-8.4,-17.9,-20.5
CANAKKALE,-11.0,-11.5,-8.5,-1.6,2.3,6.6,11.2,9.4,5.9,0.4,-7.0,-10.5,-11.5
CANKIRI,-25.0,-24.0,-20.5,-8.9,-3.0,1.6,4.3,4.6,-2.0,-6.3,-19.4,-18.8,-25.0
CORUM,-25.6,-27.2,-23.3,-9.4,-4.3,0.2,3.4,3.0,-3.0,-6.3,-15.7,-21.6,-27.2
DENIZLI,-10.5,-11.4,-7.0,-2.0,2.7,7.9,12.6,11.6,6.6,-0.8,-4.5,-10.4,-11.4
DIYARBAKIR,-24.2,-21.0,-14.0,-6.1,0.8,1.8,9.9,11.4,0.0,-1.8,-12.9,-23.4,-24.2
EDIRNE,-19.5,-19.0,-12.0,-4.1,0.7,6.0,8.0,8.9,0.2,-3.7,-9.4,-14.9,-19.5
ELAZIG,-22.6,-21.4,-17.0,-7.0,0.0,4.0,6.7,10.2,1.0,-2.2,-15.2,-22.6,-22.6
ERZINCAN,-31.2,-30.2,-22.4,-11.1,-4.2,2.0,5.0,5.9,0.3,-6.8,-15.6,-25.9,-31.2
ERZURUM,-36.0,-37.0,-33.2,-22.4,-7.1,-5.6,-1.8,-1.1,-6.8,-14.1,-34.3,-37.2,-37.2
ESKISEHIR,-23.6,-23.8,-16.5,-7.2,-1.0,0.5,5.0,2.2,-3.7,-7.1,-16.7,-26.3,-26.3
GAZIANTEP,-17.5,-15.6,-11.0,-4.3,0.4,4.5,9.0,10.8,3.4,-3.9,-9.7,-15.0,-17.5
GIRESUN,-6.2,-9.8,-5.8,-1.4,4.0,6.8,12.1,12.1,4.8,4.2,-1.6,-2.4,-9.8
GUMUSHANE,-23.6,-25.7,-22.6,-11.0,-2.8,1.8,4.5,4.9,-1.0,-4.8,-15.0,-21.0,-25.7
HAKKARI,-23.4,-22.7,-19.0,-8.3,-0.8,5.0,10.0,9.7,4.3,-5.8,-15.0,-21.3,-23.4
HATAY,-11.8,-6.8,-4.2,1.5,7.7,11.6,15.9,15.4,7.9,2.3,-3.0,-6.6,-11.8
ISPARTA,-19.2,-21.0,-18.5,-7.7,-1.2,4.3,4.9,7.0,-0.8,-4.2,-11.5,-15.4,-21.0
MERSIN,-6.3,-6.6,-2.2,0.6,7.0,12.0,16.1,15.0,11.0,2.7,-3.3,-3.0,-6.6
ISTANBUL,-13.9,-16.1,-11.1,-2.0,1.4,7.1,10.5,10.2,6.0,2.2,-7.2,-11.5,-16.1
IZMIR,-8.2,-5.2,-3.8,0.6,4.3,9.5,15.4,11.5,10.0,3.6,-2.9,-4.7,-8.2
KARS,-36.7,-37.0,-31.5,-22.6,-7.0,-4.0,0.1,-1.9,-4.4,-17.5,-30.0,-35.0,-37.0
KASTAMONU,-26.9,-22.3,-19.7,-8.5,-3.6,0.2,3.8,0.9,-1.5,-7.5,-19.3,-23.7,-26.9
KAYSERI,-32.5,-31.2,-28.1,-11.6,-6.9,-0.6,2.9,1.4,-3.8,-12.2,-20.7,-28.4,-32.5
KIRKLARELI,-15.8,-15.0,-11.8,-3.0,1.4,5.8,8.8,8.7,3.0,-3.4,-7.2,-11.1,-15.8
KIRSEHIR,-28.0,-25.3,-21.8,-8.2,-1.4,2.6,5.1,5.0,-1.2,-6.6,-21.5,-24.3,-28.0
KOCAELI,-13.1,-18.0,-6.5,-1.0,1.8,4.0,10.1,10.9,4.9,2.4,-3.4,-8.8,-18.0
KONYA,-28.2,-26.5,-16.4,-8.6,-1.2,1.8,6.0,5.3,-3.0,-8.4,-20.0,-26.0,-28.2
KUTAHYA,-26.3,-27.4,-16.6,-7.8,-2.8,0.5,2.6,-0.2,-3.9,-6.9,-11.0,-28.1,-28.1
